id	filename	md5	size	state
c37d1c12-1fcf-4885-bcf9-7e5d606ca6df	TCGA-HT-7604-01A-01-TS1.efad2258-9bbf-4567-abe5-9bb1d5e754d9.svs	8ed7c2654cea23339e39045b71744beb	287081737	released
54ea45fa-a633-487f-be3d-b0168f2983c8	TCGA-HT-7604-01A-01-BS1.15ec0167-3563-4678-80f7-8f0899036387.svs	3737d31f1370b83c07b0fc6395edec76	464702995	released
c0c81859-6a29-4c80-81c0-280ebbd829d4	TCGA-HW-7490-01A-01-TS1.49e18e73-f841-4195-8eec-1ecd2a4a65e1.svs	a1427fff6ef453a164e8f4bd19a99789	254207531	released
0bb42b11-c532-44f7-9fd6-cc815b734368	TCGA-FG-8182-01A-01-BS1.41e53e8e-195c-4eb2-bd1e-dbbd6410b56a.svs	9f57a2a47f4f97369f04612aad5091bd	311455387	released
d05b52e3-74b1-4b1e-a2fc-24562688e597	TCGA-DB-5273-01A-01-TS1.37a2581d-0fc7-4359-a620-4bdb4d1eb211.svs	650f03325ca6775c20e824467b632652	186501265	released
c04d2620-115c-493d-bc88-4cccbb97073c	TCGA-HT-8106-01A-01-BS1.a1aea132-de7f-487d-bd1e-4cd452317287.svs	aa27cbaf4ebbac7486bd8ec0a926e55d	425082669	released
10a188bf-7fe5-4f44-9127-8d6d84bd5f81	TCGA-HT-7474-01A-01-BS1.19537c2f-a431-4f9d-ab8c-615d77a295c9.svs	486905ad4c768152e42f55e0fc7c3027	120551103	released
8cac3fe7-bcf5-444f-a044-3f1391c20fe8	TCGA-FG-8187-01A-01-BS1.485e1491-14ce-4528-af03-2fbf30ff932f.svs	375a9b912a14bfe2927e6051f581c869	891731141	released
8a4698df-fedb-4c55-af0b-cb5691a45b03	TCGA-HT-7873-01B-01-BS1.c2517639-713f-41f8-a101-070571e93cb7.svs	d97efb28c9c8b0526de98f52bffac7fb	436492019	released
d68c5d93-79b5-4d0f-86fb-b9aff67e9546	TCGA-HW-8321-01A-01-BS1.b48df1d4-b1b2-414e-9a34-aa7e32337f4c.svs	84e1d891faccd335e010ead7802a9240	555813735	released
d32a0ac8-5087-4342-a718-a818561d754f	TCGA-HT-7693-01A-01-BS1.67ece220-ff72-47e3-8a87-e73eefbe1c6b.svs	dcf80c68c2b03ca146cbf7ec5776210d	442384579	released
7dcdb0ec-80bb-4cb2-bf31-fd50648f58f9	TCGA-DU-7298-01A-01-TS1.85197b39-852e-4c6a-b529-b30baf96e2c1.svs	cc2e6959d59dd33dc24b1402c00d3425	97145017	released
63cc74ca-7748-4e3d-9400-0b1658c4f61a	TCGA-HT-7603-01A-01-BS1.412cabf5-b046-4fb3-9b68-8851d45cfb34.svs	c13549898c532061b8394b61f085dae0	583530729	released
cf1f3b1a-865b-4d2d-a8dd-da922d4e159f	TCGA-HT-8018-01A-01-TS1.69f7c6bc-9d4b-40cd-a211-620a4ddfe278.svs	f3f800785fb50ae5248333ccaf10f4ec	366468349	released
82ff55b9-1dbc-4e0e-b0f5-089cad8f7141	TCGA-DU-8168-01A-01-TS1.7cb0734d-ae96-474c-8e55-5598ad0f6046.svs	a38276a69ee891045dc7447db56de045	490041467	released
d1283a79-210a-4056-bde0-0045ecfb93cb	TCGA-HT-7694-01A-01-BS1.b7c242d1-f51a-455f-ab51-0332cad3beff.svs	6f24a60952dd558c7e6c93ec50987fe0	650019869	released
048e797a-fc54-4156-bbf0-f933bcff244a	TCGA-EZ-7264-01A-01-TS1.982c07ed-32a1-45fe-b704-38a230adcc4d.svs	5fefec057ea66a726b7fbb5f41531ea3	81935913	released
722e1430-bdb3-49e0-879a-4949a67bbaeb	TCGA-HT-7689-01A-01-TS1.ab8a813a-77f9-40cc-b82a-d55a7bd83b6a.svs	e3dcef3612673eb88d8aba8d4ad29093	448561207	released
0efd01df-33bb-4d88-bd8c-3a8305561eb4	TCGA-FG-8187-01A-01-TS1.f85de027-c48d-4996-8955-9ff65e1d0e70.svs	1b3bad916b076dc5f0b80b813057b72c	575480509	released
d70cd222-6ff6-4d5c-98f8-26c2fb30b581	TCGA-HT-7855-01A-01-BS1.2252f180-3cc0-4d30-8ffb-dc36cfd9fa50.svs	fa9f3f5a4f9deb46795f07bfc1d0158e	198709495	released
82730f69-6a84-486f-9240-e580298e0608	TCGA-CS-6186-01A-01-TS1.d184f52c-4712-4221-8bba-bc6656cc3885.svs	30fb92983935e465d3ad7716110f025c	82904633	released
9cdd2dee-916c-4fe4-ac88-41a4db89f7d0	TCGA-HT-7881-01A-01-BS1.c87a0694-000f-4f6c-b1bb-4685ee438292.svs	c0aa1dab2fe5a82e397567cff1a3d38b	198061559	released
3fd237eb-af0d-4e76-89de-b11644685efb	TCGA-DU-7304-01A-01-BS1.3634ec27-331b-499b-b0a5-f0298138e11a.svs	a13e7a92497ed580543649f7ee0171a0	139886369	released
1be3439d-4d88-485d-b0dc-13c9e3d50e99	TCGA-HT-7881-01A-01-TS1.170845dc-3622-4b9a-8dce-a669ec3a0193.svs	2006de8fb6dabd738462af06410158a0	146026753	released
ad8ee7ab-e442-4094-b2f3-e9e24038a893	TCGA-DU-7304-01A-01-TS1.047aaa50-428a-410f-a09c-1aeed00676ea.svs	8a8c703928664ea2f65fce8bccf8807b	121937547	released
a372a192-7e06-4ddd-8d71-a199a0180dd5	TCGA-HT-7882-01A-01-BS1.5924ec21-f3d7-4c68-8f14-bd665fd29479.svs	ac836305572c92592d59dd417e2044e1	99613289	released
5ac73462-2af3-4caa-b7b3-3e42c2b4f97b	TCGA-HT-7474-01A-01-TS1.88085f8b-c705-430c-806a-f0b55e037cb8.svs	bc053cccfeb24ef2cb868612798d1365	61186175	released
2fd39bb1-6eef-42b1-829d-dca841fb1a1e	TCGA-HT-7882-01A-01-TS1.e48f8779-6b80-4151-a795-243a0e3a5843.svs	23e2a4b9e1e9392d77176695d7967945	104867993	released
d208066d-708c-4345-8af0-5f9a04cf2783	TCGA-HT-8106-01A-01-TS1.cd095d72-acbd-47a7-9ca1-0e53778f8ff7.svs	b11099df7f79b65e346f1859cc9469d6	203782117	released
95c84798-bd2d-462e-8b44-325d2695905d	TCGA-HW-7493-01A-01-BS1.83cb6fbf-986f-4a9f-87de-758a78544fce.svs	3e523b7b57d379670cf5d3a33e79abf4	489625841	released
2b1ea76f-4f27-47e5-ac41-e8b013c16621	TCGA-HT-7606-01A-01-TS1.179ea389-078a-40c3-95da-ca2e4b58ef4d.svs	cc1e9f0764950d5856c8c57a97e0ac0f	485390701	released
9374c2dd-d700-4c0a-a037-ce52234ce544	TCGA-CS-6669-01A-01-TS1.20240fda-f484-41a8-8557-066e4b5cc258.svs	ede24de918838a475145ad00e7657e78	164535541	released
038f6c9c-516e-466b-9f10-8812efbefae2	TCGA-CS-6670-01A-01-BS1.c60b5060-1af3-4829-a746-4ccaceef4766.svs	59c29a87b59da11b2ea1da2dd4f30555	62499901	released
4854a4a6-85f2-46f8-9e5c-b9f2b80ea1db	TCGA-CS-5395-01A-01-BS1.62f04584-1566-4c68-a640-f9f5cafc9d72.svs	78592ed40f25716dcac111c8f94edd9e	11572755	released
